4095	1536	256	3442	1410	327
0	1792	256	342	1476	287
256	1792	256	527	1486	290
512	1792	256	711	1496	295
768	1792	256	899	1507	298
1024	1792	256	1098	1517	301
1280	1792	256	1301	1527	305
1536	1792	256	1503	1536	308
1792	1792	256	1700	1546	312
2048	1792	256	1904	1557	316
2303	1792	256	2112	1567	319
2559	1792	256	2321	1577	324
2815	1792	256	2522	1587	327
3071	1792	256	2718	1597	331
3327	1792	256	2916	1608	335
3583	1792	256	3114	1619	338
3839	1792	256	3308	1628	342
4095	1792	256	3499	1638	345
0	2048	256	396	1705	304
256	2048	256	582	1715	308
512	2048	256	767	1725	313
768	2048	256	954	1735	316
1024	2048	256	1156	1746	320
1280	2048	256	1360	1757	325
1536	2048	256	1560	1768	327
1792	2048	256	1759	1778	332
2048	2048	256	1964	1788	335
2303	2048	256	2174	1798	339
2559	2048	256	2380	1809	343
2815	2048	256	2580	1820	346
3071	2048	256	2774	1830	350
3327	2048	256	2975	1841	353
3583	2048	256	3172	1852	357
3839	2048	256	3366	1863	361
4095	2048	256	3555	1873	364
0	2303	256	450	1940	324
256	2303	256	634	1951	328
512	2303	256	820	1961	331
768	2303	256	1013	1971	334
1024	2303	256	1215	1982	338
1280	2303	256	1418	1992	342
1536	2303	256	1618	2004	346
1792	2303	256	1819	2015	350
2048	2303	256	2025	2026	354
2303	2303	256	2236	2037	358
2559	2303	256	2439	2050	361
2815	2303	256	2636	2060	365
3071	2303	256	2832	2071	367
3327	2303	256	3034	2082	372
3583	2303	256	3229	2093	376
3839	2303	256	3421	2105	379
4095	2303	256	3613	2115	383
0	2559	256	503	2187	343
256	2559	256	687	2198	346
512	2559	256	874	2209	349
768	2559	256	1071	2220	353
1024	2559	256	1273	2231	356
1280	2559	256	1476	2241	359
1536	2559	256	1675	2253	362
1792	2559	256	1878	2266	367
2048	2559	256	2086	2276	372
2303	2559	256	2297	2287	376
2559	2559	256	2497	2297	380
2815	2559	256	2692	2307	382
3071	2559	256	2891	2318	387
3327	2559	256	3092	2328	391
3583	2559	256	3286	2338	394
3839	2559	256	3477	2348	398
4095	2559	256	3672	2359	401
0	2815	256	557	2428	361
256	2815	256	740	2438	364
512	2815	256	927	2447	368
768	2815	256	1129	2458	371
1024	2815	256	1332	2469	375
1280	2815	256	1534	2480	377
1536	2815	256	1733	2491	382
1792	2815	256	1937	2500	386
2048	2815	256	2148	2512	389
2303	2815	256	2356	2522	393
2559	2815	256	2556	2532	397
2815	2815	256	2750	2542	400
3071	2815	256	2951	2552	406
3327	2815	256	3150	2563	409
3583	2815	256	3343	2573	413
3839	2815	256	3535	2583	417
4095	2815	256	3731	2593	421
0	3071	256	610	2660	379
256	3071	256	795	2671	383
512	3071	256	986	2680	386
768	3071	256	1189	2690	390
1024	3071	256	1391	2701	394
1280	3071	256	1592	2713	397
1536	3071	256	1793	2723	401
1792	3071	256	1997	2733	404
2048	3071	256	2211	2743	408
2303	3071	256	2415	2753	413
2559	3071	256	2613	2764	415
2815	3071	256	2807	2773	419
3071	3071	256	3012	2784	422
3327	3071	256	3208	2794	426
3583	3071	256	3402	2804	431
3839	3071	256	3595	2815	436
4095	3071	256	3790	2825	440
0	3327	256	663	2892	398
256	3327	256	850	2902	401
512	3327	256	1045	2914	405
768	3327	256	1248	2924	409
1024	3327	256	1451	2934	411
1280	3327	256	1651	2944	416
1536	3327	256	1853	2954	419
1792	3327	256	2059	2965	423
2048	3327	256	2274	2975	427
2303	3327	256	2474	2986	431
2559	3327	256	2668	2995	434
2815	3327	256	2865	3006	437
3071	3327	256	3070	3017	441
3327	3327	256	3264	3027	445
3583	3327	256	3457	3037	449
3839	3327	256	3651	3046	453
4095	3327	256	3847	3057	458
0	3583	256	714	3122	417
256	3583	256	904	3133	420
512	3583	256	1104	3143	424
768	3583	256	1307	3153	426
1024	3583	256	1509	3162	431
1280	3583	256	1708	3172	435
1536	3583	256	1911	3181	437
1792	3583	256	2121	3190	442
2048	3583	256	2333	3201	446
2303	3583	256	2534	3211	450
2559	3583	256	2726	3219	453
2815	3583	256	2927	3229	456
3071	3583	256	3128	3239	460
3327	3583	256	3319	3249	464
3583	3583	256	3513	3258	468
3839	3583	256	3709	3267	472
4095	3583	256	3905	3277	475
0	3839	256	770	3343	435
256	3839	256	960	3353	438
512	3839	256	1163	3362	441
768	3839	256	1366	3371	445
1024	3839	256	1567	3381	450
1280	3839	256	1768	3392	452
1536	3839	256	1971	3401	456
1792	3839	256	2184	3411	460
2048	3839	256	2393	3421	465
2303	3839	256	2592	3431	468
2559	3839	256	2784	3441	471
2815	3839	256	2988	3451	475
3071	3839	256	3185	3461	478
3327	3839	256	3378	3470	482
3583	3839	256	3574	3481	487
3839	3839	256	3770	3490	493
4095	3839	256	3965	3500	497
0	4095	256	825	3566	452
256	4095	256	1019	3575	455
512	4095	256	1222	3586	459
768	4095	256	1425	3595	464
1024	4095	256	1627	3605	468
1280	4095	256	1828	3615	473
1536	4095	256	2034	3625	477
1792	4095	256	2249	3635	480
2048	4095	256	2452	3645	485
